"data","bora-komorowskiego","bulwary","dworzec główny","klimeckiego","kopernika","kotlarska","mogilska","monte cassino","nowohucka","smoleńsk","tyniecka","wadowicka","wielicka","Średnia temp. (°C)","Min. temp.(°C)","Max.temp.(°C)","Odczuwalna temp. (°C)","Opady (mm)","Wiatr (km-h)"
2020-09-22,1676,3678,2154,2284,3685,3594,4438,3326,1156,1289,2791,3549,2205,19,13,25,21,0,5
2020-09-23,1671,3147,2088,2150,3593,3545,4304,3028,1050,1269,2275,2942,2077,19.5,14,25,20,0.3,5
2020-09-24,1536,3028,1941,1938,3378,3256,4047,2905,1020,1154,2103,2370,1899,19.5,16,23,19,4.4,8
2020-09-25,1061,1867,1601,1405,2600,2454,3133,2089,612,999,1300,1429,1469,18.5,14,23,18,0.3,8
2020-09-26,407,977,531,541,875,952,1040,992,314,488,867,580,567,14,10,18,14,4.8,13
2020-09-27,535,1372,621,701,1071,964,1233,1131,301,461,1348,499,604,11.5,9,14,9,0,16
2020-09-28,651,1020,1074,949,1744,1677,2158,1300,446,787,593,936,996,11.5,7,16,11,1.1,10
2020-09-29,837,1526,1341,1129,2282,2131,2783,1784,553,985,1086,1118,1250,13,11,15,12,3.1,11
2020-09-30,382,556,728,491,1102,953,1346,745,221,472,282,520,553,9.5,7,12,9,53.7,15
2020-10-01,433,655,820,577,1267,1086,1544,798,245,529,330,579,620,9,6,12,10,18.9,6
2020-10-02,895,1889,1386,1183,2311,2078,2760,1838,600,927,1194,1123,1274,13,9,17,13,4.9,6
2020-10-03,1092,3740,1179,1403,1919,2019,2446,2258,747,730,4039,1089,1397,18,12,24,17,0.1,11
2020-10-04,842,2985,815,1175,1638,1711,1968,1877,563,686,2744,799,1050,17,14,20,17,0.7,15
2020-10-05,1049,1849,1633,1430,2729,2373,3358,2103,704,988,1156,1378,1539,16.5,11,22,15,3.2,10
2020-10-06,1337,2836,1919,1721,3350,3112,3975,2587,907,1158,2118,1582,1889,14,10,18,14,0,6
2020-10-07,965,1753,1492,1266,2476,2312,3091,1871,614,998,1072,1227,1364,12.5,11,14,12,1.8,7
2020-10-08,748,1475,1296,1043,2156,1962,2628,1515,485,906,920,1066,1128,12.5,10,15,11,0.4,9
2020-10-09,1053,2260,1461,1463,2625,2450,3126,2077,715,1050,1672,1300,1527,13.5,9,18,13,0,7
2020-10-10,679,1918,865,848,1390,1356,1800,1495,574,607,2220,783,919,14.5,11,18,14,3,5
2020-10-11,202,601,431,308,621,643,713,624,154,335,483,317,354,10,9,11,8,10.9,10
2020-10-12,246,379,562,307,783,656,936,521,164,381,197,397,390,7.5,6,9,5,28.7,15
2020-10-13,125,217,374,217,483,441,593,345,91,229,109,275,254,4.5,2,7,3,46.3,15
2020-10-14,347,544,748,541,1116,995,1281,766,245,538,346,587,578,7,5,9,5,20.7,17
2020-10-15,435,809,846,621,1290,1136,1507,1035,316,656,647,635,633,8,6,10,6,2.7,11
2020-10-16,289,475,697,546,983,874,1176,697,184,497,262,541,530,5.5,4,7,3,2.5,12
2020-10-17,160,320,336,215,418,455,509,417,151,281,225,274,209,6,5,7,4,17,10
2020-10-18,289,947,395,410,748,740,845,787,196,361,1064,338,412,6.5,4,9,3,2.3,18
2020-10-19,582,1011,1021,803,1594,1451,1900,1107,353,716,692,883,931,8.5,6,11,6,0.4,14
2020-10-20,876,1718,1242,1095,2016,1896,2492,1630,563,911,1444,1078,1120,9,5,13,8,0,7
2020-10-21,781,1333,1113,1057,1957,1730,2350,1554,502,804,1023,1031,1100,10,6,14,9,0,6
2020-10-22,952,2220,1198,1186,2207,2035,2716,1877,741,904,1906,1104,1248,12.5,8,17,12,0,7
2020-10-23,750,1422,1131,1067,2064,1789,2248,1527,505,900,987,1019,1144,12,9,15,12,0,5
2020-10-24,422,1088,618,524,1040,1020,1169,921,309,442,898,572,552,12,10,14,11,1.5,10
2020-10-25,390,1309,536,543,1259,933,1251,963,265,471,1372,492,500,11,8,14,11,0,6
2020-10-26,849,1720,1240,1127,2311,1991,2688,1995,626,871,1283,1065,1221,13,9,17,12,0,6
2020-10-27,964,2100,1327,1265,2406,2139,2793,1849,693,916,1689,1215,1307,15,11,19,14,0,7
2020-10-28,943,2077,1470,1340,3095,2221,3307,2112,625,1218,1530,1204,1447,12.5,9,16,12,0,5
2020-10-29,598,998,1017,845,1728,1540,2014,1097,415,633,633,862,938,10.5,8,13,9,0.7,14
2020-10-30,502,801,869,651,1451,1288,1644,997,340,600,671,705,759,8,5,11,6,6.2,12
2020-10-31,514,1439,615,676,1024,1097,1255,1059,430,490,1339,594,615,8.5,6,11,8,7.9,10
2020-11-01,371,1242,528,500,861,823,1015,851,275,374,1368,392,506,7.5,4,11,7,1.2,5
2020-11-02,417,730,799,651,1408,1214,1520,880,296,527,376,685,668,10.5,8,13,10,5.2,8
2020-11-03,637,1177,1088,847,1729,1558,2064,1211,430,739,771,868,902,13,11,15,13,1.2,9
